features,dataset_and_task,n_valid,rogi
gin,DOCKSTRING/NOS1,10000,0.21172999788755453
gin,DOCKSTRING/NOS1,10000,0.24107209940432106
gin,DOCKSTRING/NOS1,10000,0.1955675140468238
gin,DOCKSTRING/NOS1,10000,0.2043366249524452
gin,DOCKSTRING/NOS1,10000,0.22271675705539895
gin,DOCKSTRING/ADAM17,10000,0.22148295895196857
gin,DOCKSTRING/ADAM17,10000,0.20359053264589774
gin,DOCKSTRING/ADAM17,10000,0.2175760875395135
gin,DOCKSTRING/ADAM17,9999,0.23175427541382848
gin,DOCKSTRING/ADAM17,10000,0.2190632861638676
gin,DOCKSTRING/ADRB1,10000,0.14507159204574432
gin,DOCKSTRING/ADRB1,10000,0.17465372647745492
gin,DOCKSTRING/ADRB1,10000,0.1728860189671012
gin,DOCKSTRING/ADRB1,10000,0.1672378779550348
gin,DOCKSTRING/ADRB1,10000,0.20561836736212996
gin,DOCKSTRING/REN,9999,0.21635706470468757
gin,DOCKSTRING/REN,10000,0.21933249238324365
gin,DOCKSTRING/REN,10000,0.21050566660348125
gin,DOCKSTRING/REN,10000,0.2045863371294164
gin,DOCKSTRING/REN,10000,0.20837675518673562
gin,DOCKSTRING/HSP90AA1,9999,0.17397530033193412
gin,DOCKSTRING/HSP90AA1,10000,0.20825288871234304
gin,DOCKSTRING/HSP90AA1,10000,0.1897918939980745
gin,DOCKSTRING/HSP90AA1,10000,0.19289533551381483
gin,DOCKSTRING/HSP90AA1,9999,0.21070178620663071
gin,DOCKSTRING/PPARD,10000,0.22027754458329096
gin,DOCKSTRING/PPARD,9999,0.22275419694707144
gin,DOCKSTRING/PPARD,10000,0.2534827225363029
gin,DOCKSTRING/PPARD,9999,0.22082994819986723
gin,DOCKSTRING/PPARD,10000,0.20273272010727722
gin,DOCKSTRING/CDK2,10000,0.21494978203493237
gin,DOCKSTRING/CDK2,10000,0.23169942919743744
gin,DOCKSTRING/CDK2,10000,0.19112355691378632
gin,DOCKSTRING/CDK2,10000,0.19423028183521254
gin,DOCKSTRING/CDK2,10000,0.21616593348529325
gin,DOCKSTRING/F2,9999,0.21689165892501103
gin,DOCKSTRING/F2,10000,0.22346540290311273
gin,DOCKSTRING/F2,9998,0.21291841117165763
gin,DOCKSTRING/F2,10000,0.20874115142539798
gin,DOCKSTRING/F2,10000,0.20352144259941982
gin,DOCKSTRING/ADRB2,10000,0.1360611641038385
gin,DOCKSTRING/ADRB2,10000,0.09836561666774929
gin,DOCKSTRING/ADRB2,10000,0.08784997324361432
gin,DOCKSTRING/ADRB2,10000,0.1464429895552342
gin,DOCKSTRING/ADRB2,9999,0.13576311874263708
gin,DOCKSTRING/FGFR1,9999,0.23879710717935135
gin,DOCKSTRING/FGFR1,10000,0.2513867045695306
gin,DOCKSTRING/FGFR1,10000,0.2415753460366293
gin,DOCKSTRING/FGFR1,9999,0.23716753097844528
gin,DOCKSTRING/FGFR1,10000,0.228713519562576
gin,DOCKSTRING/BACE1,10000,0.19304405430644353
gin,DOCKSTRING/BACE1,10000,0.22843419072843163
gin,DOCKSTRING/BACE1,10000,0.21487460729391145
gin,DOCKSTRING/BACE1,10000,0.19983593221964724
gin,DOCKSTRING/BACE1,10000,0.23670736974181886
gin,DOCKSTRING/MAPKAPK2,10000,0.20995558533861586
gin,DOCKSTRING/MAPKAPK2,9999,0.20382460721948617
gin,DOCKSTRING/MAPKAPK2,10000,0.18812388432031202
gin,DOCKSTRING/MAPKAPK2,10000,0.23575147411479067
gin,DOCKSTRING/MAPKAPK2,10000,0.19075259156618707
gin,DOCKSTRING/AKT2,10000,0.20892048488323586
gin,DOCKSTRING/AKT2,10000,0.20000644025524977
gin,DOCKSTRING/AKT2,10000,0.19999511740530618
gin,DOCKSTRING/AKT2,10000,0.21137336315676736
gin,DOCKSTRING/AKT2,10000,0.22095929118287017
gin,DOCKSTRING/DHFR,10000,0.22034649886217472
gin,DOCKSTRING/DHFR,10000,0.20128975520366515
gin,DOCKSTRING/DHFR,9999,0.21015719810884104
gin,DOCKSTRING/DHFR,10000,0.22980541961505085
gin,DOCKSTRING/DHFR,10000,0.21465353560855094
gin,DOCKSTRING/SRC,10000,0.19573749888701147
gin,DOCKSTRING/SRC,10000,0.21322560621937073
gin,DOCKSTRING/SRC,10000,0.22743245005193236
gin,DOCKSTRING/SRC,10000,0.2035648748280667
gin,DOCKSTRING/SRC,10000,0.21915624751892201
gin,DOCKSTRING/CYP2C9,10000,0.10351598181946527
gin,DOCKSTRING/CYP2C9,10000,0.1898724451828177
gin,DOCKSTRING/CYP2C9,9999,0.17138214700178803
gin,DOCKSTRING/CYP2C9,10000,0.13811165106794396
gin,DOCKSTRING/CYP2C9,9999,0.19465666199047518
gin,DOCKSTRING/PTGS2,10000,0.1959030348985964
gin,DOCKSTRING/PTGS2,10000,0.09105166058060232
gin,DOCKSTRING/PTGS2,10000,0.1623278165328217
gin,DOCKSTRING/PTGS2,10000,0.16049890130291725
gin,DOCKSTRING/PTGS2,10000,0.11582472310866193
gin,DOCKSTRING/ESR1,10000,0.20595588148495053
gin,DOCKSTRING/ESR1,9999,0.2107049174812481
gin,DOCKSTRING/ESR1,9999,0.20653545905605153
gin,DOCKSTRING/ESR1,10000,0.21611868382080918
gin,DOCKSTRING/ESR1,10000,0.225299072409191
gin,DOCKSTRING/MET,10000,0.2201387746899034
gin,DOCKSTRING/MET,10000,0.21121936036396977
gin,DOCKSTRING/MET,10000,0.2161935939021342
gin,DOCKSTRING/MET,10000,0.20410499463143422
gin,DOCKSTRING/MET,10000,0.22330642392824845
gin,DOCKSTRING/IGF1R,9999,0.2154017236089648
gin,DOCKSTRING/IGF1R,10000,0.22947587962672386
gin,DOCKSTRING/IGF1R,10000,0.20526444547807918
gin,DOCKSTRING/IGF1R,10000,0.21509765039491252
gin,DOCKSTRING/IGF1R,10000,0.2062010945090219
gin,DOCKSTRING/PPARG,10000,0.22663418943413488
gin,DOCKSTRING/PPARG,10000,0.21138519437260092
gin,DOCKSTRING/PPARG,9999,0.217992667314039
gin,DOCKSTRING/PPARG,10000,0.2183966135430947
gin,DOCKSTRING/PPARG,9999,0.19101934447941918
gin,DOCKSTRING/HMGCR,9999,0.21007765215812893
gin,DOCKSTRING/HMGCR,10000,0.20998809469149157
gin,DOCKSTRING/HMGCR,10000,0.2165519474142409
gin,DOCKSTRING/HMGCR,10000,0.19816910283032907
gin,DOCKSTRING/HMGCR,10000,0.19215348003681257
gin,DOCKSTRING/AKT1,10000,0.08519959885989198
gin,DOCKSTRING/AKT1,10000,0.1303114964920302
gin,DOCKSTRING/AKT1,10000,0.17513878918197423
gin,DOCKSTRING/AKT1,10000,0.13232010176756853
gin,DOCKSTRING/AKT1,10000,0.12282132583505864
gin,DOCKSTRING/CSF1R,9999,0.1948533354573729
gin,DOCKSTRING/CSF1R,10000,0.21672325112990212
gin,DOCKSTRING/CSF1R,10000,0.1759962367621143
gin,DOCKSTRING/CSF1R,10000,0.19291157550305968
