featurizer,dataset_and_task,n_valid,rogi
vae,DOCKSTRING/NOS1,10000,0.22240442172707536
vae,DOCKSTRING/NOS1,10000,0.2124438475447588
vae,DOCKSTRING/NOS1,9999,0.18881379344498603
vae,DOCKSTRING/NOS1,10000,0.06292014037582848
vae,DOCKSTRING/NOS1,10000,0.2109731527023164
vae,DOCKSTRING/ADAM17,10000,0.2197376775253826
vae,DOCKSTRING/ADAM17,10000,0.18301442263410392
vae,DOCKSTRING/ADAM17,10000,0.21165457664165618
vae,DOCKSTRING/ADAM17,10000,0.19202595143752868
vae,DOCKSTRING/ADAM17,10000,0.18685446593052485
vae,DOCKSTRING/ADRB1,10000,0.18278868334816484
vae,DOCKSTRING/ADRB1,10000,0.18956989266121274
vae,DOCKSTRING/ADRB1,10000,0.1182892609479511
vae,DOCKSTRING/ADRB1,9999,0.19742259809175194
vae,DOCKSTRING/ADRB1,9999,0.136269646721843
vae,DOCKSTRING/REN,10000,0.21123480990037646
vae,DOCKSTRING/REN,10000,0.20580631593801296
vae,DOCKSTRING/REN,9999,0.20531539288452305
vae,DOCKSTRING/REN,10000,0.20173019231012299
vae,DOCKSTRING/REN,10000,0.2132686480616625
vae,DOCKSTRING/HSP90AA1,10000,0.20384649386669598
vae,DOCKSTRING/HSP90AA1,9999,0.20790364148999152
vae,DOCKSTRING/HSP90AA1,10000,0.20758381684336105
vae,DOCKSTRING/HSP90AA1,10000,0.2009063174374534
vae,DOCKSTRING/HSP90AA1,9999,0.18663277481435622
vae,DOCKSTRING/PPARD,10000,0.21806209718916506
vae,DOCKSTRING/PPARD,10000,0.21438323906709378
vae,DOCKSTRING/PPARD,9999,0.212464087898738
vae,DOCKSTRING/PPARD,10000,0.20910085080961172
vae,DOCKSTRING/PPARD,10000,0.21689703489635553
vae,DOCKSTRING/CDK2,10000,0.18159406168560838
vae,DOCKSTRING/CDK2,10000,0.20108534202953468
vae,DOCKSTRING/CDK2,10000,0.19520223137024204
vae,DOCKSTRING/CDK2,10000,0.17043939195051513
vae,DOCKSTRING/CDK2,10000,0.20456220211034262
vae,DOCKSTRING/F2,10000,0.21204793627290497
vae,DOCKSTRING/F2,9999,0.20552367495279256
vae,DOCKSTRING/F2,10000,0.21925642124624584
vae,DOCKSTRING/F2,10000,0.21818318017887156
vae,DOCKSTRING/F2,10000,0.22013730901571193
vae,DOCKSTRING/ADRB2,10000,0.19061478058748796
vae,DOCKSTRING/ADRB2,10000,0.1356497447349419
vae,DOCKSTRING/ADRB2,10000,0.1468520320933046
vae,DOCKSTRING/ADRB2,10000,0.13194599531743245
vae,DOCKSTRING/ADRB2,10000,0.15736518699773397
vae,DOCKSTRING/FGFR1,9999,0.18573503641975136
vae,DOCKSTRING/FGFR1,10000,0.21569993264373236
vae,DOCKSTRING/FGFR1,10000,0.2071241820519616
vae,DOCKSTRING/FGFR1,10000,0.1878096252323418
vae,DOCKSTRING/FGFR1,9999,0.20546701435577372
vae,DOCKSTRING/BACE1,10000,0.20028825037510006
vae,DOCKSTRING/BACE1,10000,0.20257239680329367
vae,DOCKSTRING/BACE1,10000,0.18892885735787782
vae,DOCKSTRING/BACE1,10000,0.1842532458599468
vae,DOCKSTRING/BACE1,10000,0.19467117738979037
vae,DOCKSTRING/MAPKAPK2,10000,0.19761783849228687
vae,DOCKSTRING/MAPKAPK2,10000,0.2026259274313622
vae,DOCKSTRING/MAPKAPK2,10000,0.20014371658366875
vae,DOCKSTRING/MAPKAPK2,9999,0.19187233904087428
vae,DOCKSTRING/MAPKAPK2,10000,0.19896336159530884
vae,DOCKSTRING/AKT2,10000,0.19043284644605957
vae,DOCKSTRING/AKT2,10000,0.21692977897488497
vae,DOCKSTRING/AKT2,10000,0.18907122862448156
vae,DOCKSTRING/AKT2,10000,0.18692014413328237
vae,DOCKSTRING/AKT2,10000,0.2069991697232645
vae,DOCKSTRING/DHFR,10000,0.207896452089242
vae,DOCKSTRING/DHFR,10000,0.1870877887287687
vae,DOCKSTRING/DHFR,10000,0.20012313305403873
vae,DOCKSTRING/DHFR,10000,0.2073285086018784
vae,DOCKSTRING/DHFR,10000,0.19545787010599014
vae,DOCKSTRING/SRC,10000,0.18659178055856385
vae,DOCKSTRING/SRC,10000,0.20660412567075684
vae,DOCKSTRING/SRC,10000,0.21104082568918106
vae,DOCKSTRING/SRC,10000,0.18729963502400543
vae,DOCKSTRING/SRC,10000,0.19685347391121177
vae,DOCKSTRING/CYP2C9,10000,0.1322975919360007
vae,DOCKSTRING/CYP2C9,10000,0.15072372464972578
vae,DOCKSTRING/CYP2C9,10000,0.07485305408102962
vae,DOCKSTRING/CYP2C9,10000,0.04337895296919793
vae,DOCKSTRING/CYP2C9,10000,0.07027735281173603
vae,DOCKSTRING/PTGS2,10000,0.16163612090078694
vae,DOCKSTRING/PTGS2,10000,0.09551063775570606
vae,DOCKSTRING/PTGS2,10000,0.1742200608414512
vae,DOCKSTRING/PTGS2,10000,0.21822261110819774
vae,DOCKSTRING/PTGS2,10000,0.1514823125482307
vae,DOCKSTRING/ESR1,10000,0.2096624658064797
vae,DOCKSTRING/ESR1,10000,0.20398572794046435
vae,DOCKSTRING/ESR1,10000,0.20411212060180584
vae,DOCKSTRING/ESR1,10000,0.20919154988038513
vae,DOCKSTRING/ESR1,10000,0.19158187428941345
vae,DOCKSTRING/MET,10000,0.20493338928635335
vae,DOCKSTRING/MET,9999,0.19134103943779474
vae,DOCKSTRING/MET,10000,0.19768505451136212
vae,DOCKSTRING/MET,10000,0.19549833135387967
vae,DOCKSTRING/MET,10000,0.21613099328062932
vae,DOCKSTRING/IGF1R,10000,0.19277369336168224
vae,DOCKSTRING/IGF1R,10000,0.18448369664086312
vae,DOCKSTRING/IGF1R,10000,0.19678440245141435
vae,DOCKSTRING/IGF1R,10000,0.2015958211727349
vae,DOCKSTRING/IGF1R,10000,0.19059668803670854
vae,DOCKSTRING/PPARG,10000,0.202254626217753
vae,DOCKSTRING/PPARG,10000,0.21288932147867567
vae,DOCKSTRING/PPARG,10000,0.20351422956301185
vae,DOCKSTRING/PPARG,10000,0.19794644912032705
vae,DOCKSTRING/PPARG,9999,0.2044863774256514
vae,DOCKSTRING/HMGCR,10000,0.18704960772533274
vae,DOCKSTRING/HMGCR,10000,0.2069233561591912
vae,DOCKSTRING/HMGCR,10000,0.17562430617121533
vae,DOCKSTRING/HMGCR,10000,0.20345168685821474
vae,DOCKSTRING/HMGCR,10000,0.19544952079818867
vae,DOCKSTRING/AKT1,10000,0.08496416815639038
vae,DOCKSTRING/AKT1,10000,0.13907865904924355
vae,DOCKSTRING/AKT1,10000,0.1194325552818263
vae,DOCKSTRING/AKT1,10000,0.1823380949494689
vae,DOCKSTRING/AKT1,10000,0.18353110145532453
vae,DOCKSTRING/CSF1R,10000,0.1874460208186132
vae,DOCKSTRING/CSF1R,10000,0.19464029182226655
vae,DOCKSTRING/CSF1R,10000,0.20901830775960517
vae,DOCKSTRING/CSF1R,9996,0.19815244204782634
vae,DOCKSTRING/CSF1R,9999,0.18019365800162235
vae,DOCKSTRING/DRD3,10000,0.1845171727999534
vae,DOCKSTRING/DRD3,10000,0.11556221045143675
vae,DOCKSTRING/DRD3,10000,0.1942571989123216
vae,DOCKSTRING/DRD3,9999,0.20403970902889554
vae,DOCKSTRING/DRD3,10000,0.11039433190469136
vae,DOCKSTRING/JAK2,10000,0.21014663775350576
vae,DOCKSTRING/JAK2,10000,0.19827748012508312
vae,DOCKSTRING/JAK2,9999,0.20756576117608383
vae,DOCKSTRING/JAK2,10000,0.18646499544543255
vae,DOCKSTRING/JAK2,10000,0.1943195001504992
vae,DOCKSTRING/PDE5A,10000,0.19307501073127528
vae,DOCKSTRING/PDE5A,10000,0.20733317263069137
vae,DOCKSTRING/PDE5A,10000,0.1768713293049639
vae,DOCKSTRING/PDE5A,10000,0.19454109302778727
vae,DOCKSTRING/PDE5A,10000,0.19662680914092712
vae,DOCKSTRING/LCK,10000,0.1846618003271539
vae,DOCKSTRING/LCK,9999,0.2020494501097501
vae,DOCKSTRING/LCK,10000,0.20424424289914975
vae,DOCKSTRING/LCK,10000,0.17010013647675942
vae,DOCKSTRING/LCK,9999,0.20080992813173562
vae,DOCKSTRING/PGR,9999,0.10519256424858398
vae,DOCKSTRING/PGR,10000,0.06500261656892885
vae,DOCKSTRING/PGR,10000,0.11188050642357247
vae,DOCKSTRING/PGR,9999,0.05700395452664347
vae,DOCKSTRING/PGR,10000,0.10566629150650196
vae,DOCKSTRING/CA2,10000,0.18147687952490923
vae,DOCKSTRING/CA2,10000,0.1973840253496565
vae,DOCKSTRING/CA2,10000,0.19774415244529445
vae,DOCKSTRING/CA2,9999,0.1884128427753929
vae,DOCKSTRING/CA2,10000,0.20676505454532867
vae,DOCKSTRING/ESR2,10000,0.2058607649386019
vae,DOCKSTRING/ESR2,10000,0.22241207697269733
vae,DOCKSTRING/ESR2,10000,0.22219979028159803
vae,DOCKSTRING/ESR2,10000,0.19382123575091953
vae,DOCKSTRING/ESR2,10000,0.19428276227000132
vae,DOCKSTRING/EGFR,10000,0.1850427256268059
vae,DOCKSTRING/EGFR,10000,0.20518712061868577
vae,DOCKSTRING/EGFR,9999,0.21831266181932213
vae,DOCKSTRING/EGFR,10000,0.19859758126819693
vae,DOCKSTRING/EGFR,10000,0.21604511223826287
vae,DOCKSTRING/DPP4,10000,0.2174326753364734
vae,DOCKSTRING/DPP4,10000,0.2035542885096217
vae,DOCKSTRING/DPP4,10000,0.22689573831773424
vae,DOCKSTRING/DPP4,10000,0.1812944177075737
vae,DOCKSTRING/DPP4,10000,0.21572192899713738
vae,DOCKSTRING/ABL1,10000,0.20089665708713353
vae,DOCKSTRING/ABL1,9999,0.19854301638738547
vae,DOCKSTRING/ABL1,10000,0.2067760698463981
vae,DOCKSTRING/ABL1,10000,0.22011975886500154
vae,DOCKSTRING/ABL1,9999,0.21203173084850505
vae,DOCKSTRING/ADORA2A,10000,0.1722084290273293
vae,DOCKSTRING/ADORA2A,10000,0.2199525549354548
vae,DOCKSTRING/ADORA2A,10000,0.20989196119045717
vae,DOCKSTRING/ADORA2A,10000,0.20227704117146547
vae,DOCKSTRING/ADORA2A,9999,0.20735439755542268
vae,DOCKSTRING/ACHE,10000,0.21924593795121194
vae,DOCKSTRING/ACHE,10000,0.17914796925828233
vae,DOCKSTRING/ACHE,10000,0.16848502218908748
vae,DOCKSTRING/ACHE,9999,0.20532836931815351
vae,DOCKSTRING/ACHE,10000,0.21045454376215592
vae,DOCKSTRING/CASP3,10000,0.2068891857775145
vae,DOCKSTRING/CASP3,10000,0.19303254256708233
vae,DOCKSTRING/CASP3,10000,0.22731307939044992
vae,DOCKSTRING/CASP3,10000,0.19913381704225425
vae,DOCKSTRING/CASP3,10000,0.1956359837051525
vae,DOCKSTRING/PTPN1,10000,0.20480110723126954
vae,DOCKSTRING/PTPN1,10000,0.20139544046896413
vae,DOCKSTRING/PTPN1,10000,0.17705017075678448
vae,DOCKSTRING/PTPN1,10000,0.20139442612535358
vae,DOCKSTRING/PTPN1,10000,0.18231333701223554
vae,DOCKSTRING/MMP13,9999,0.22210560700977217
vae,DOCKSTRING/MMP13,9999,0.20592451180875015
vae,DOCKSTRING/MMP13,10000,0.2323931765134686
vae,DOCKSTRING/MMP13,10000,0.20931596137080524
vae,DOCKSTRING/MMP13,10000,0.2110820593809472
vae,DOCKSTRING/CYP3A4,9999,0.10787803158493689
vae,DOCKSTRING/CYP3A4,10000,0.06854663724179447
vae,DOCKSTRING/CYP3A4,10000,0.18892591115306054
vae,DOCKSTRING/CYP3A4,10000,0.20674128038703476
vae,DOCKSTRING/CYP3A4,9999,0.15605686992539564
vae,DOCKSTRING/MAPK14,10000,0.20485198426884416
vae,DOCKSTRING/MAPK14,9999,0.19181721267836915
vae,DOCKSTRING/MAPK14,10000,0.18024266661777846
vae,DOCKSTRING/MAPK14,10000,0.20633574180909153
vae,DOCKSTRING/MAPK14,10000,0.18703023802640906
vae,DOCKSTRING/MAOB,9999,0.08487371262116955
vae,DOCKSTRING/MAOB,10000,0.05661907224138998
vae,DOCKSTRING/MAOB,9999,0.05435487850480559
vae,DOCKSTRING/MAOB,9997,0.08029536910455244
vae,DOCKSTRING/MAOB,9997,0.09405810360635875
vae,DOCKSTRING/ROCK1,10000,0.21158611439559033
vae,DOCKSTRING/ROCK1,9999,0.2140036614379473
vae,DOCKSTRING/ROCK1,10000,0.19478951207793493
vae,DOCKSTRING/ROCK1,10000,0.20269339958644197
vae,DOCKSTRING/ROCK1,10000,0.1949902499017938
vae,DOCKSTRING/MAP2K1,10000,0.19857673103975182
vae,DOCKSTRING/MAP2K1,10000,0.21150379245904782
vae,DOCKSTRING/MAP2K1,10000,0.20769325954791254
vae,DOCKSTRING/MAP2K1,9999,0.20310866311326503
vae,DOCKSTRING/MAP2K1,10000,0.19700183877740865
vae,DOCKSTRING/AR,10000,0.0635418593238963
vae,DOCKSTRING/AR,10000,0.0357337414562628
vae,DOCKSTRING/AR,10000,0.09025154911056005
vae,DOCKSTRING/AR,9999,0.06744424573927371
vae,DOCKSTRING/AR,9999,0.08219664207779886
vae,DOCKSTRING/THRB,10000,0.23796499205461424
vae,DOCKSTRING/THRB,10000,0.23926229621127365
vae,DOCKSTRING/THRB,10000,0.2534369138854776
vae,DOCKSTRING/THRB,10000,0.2698915214922479
vae,DOCKSTRING/THRB,10000,0.26250130414463946
vae,DOCKSTRING/HSD11B1,10000,0.2087595864580909
vae,DOCKSTRING/HSD11B1,10000,0.22773868753800114
vae,DOCKSTRING/HSD11B1,10000,0.2294196431490723
vae,DOCKSTRING/HSD11B1,9999,0.2129668296816213
vae,DOCKSTRING/HSD11B1,9999,0.21100854335029864
vae,DOCKSTRING/GBA,10000,0.06542524827377541
vae,DOCKSTRING/GBA,10000,0.17503284941053032
vae,DOCKSTRING/GBA,10000,0.08829732725136563
vae,DOCKSTRING/GBA,10000,0.09818116856853507
vae,DOCKSTRING/GBA,10000,0.044929468599405824
vae,DOCKSTRING/PARP1,10000,0.2165645644450313
vae,DOCKSTRING/PARP1,9998,0.20133460643304468
vae,DOCKSTRING/PARP1,10000,0.20732668504259116
vae,DOCKSTRING/PARP1,10000,0.20351468541313117
vae,DOCKSTRING/PARP1,9999,0.19451388579202286
vae,DOCKSTRING/MAPK1,9999,0.19792387303310682
vae,DOCKSTRING/MAPK1,9999,0.21696725790982496
vae,DOCKSTRING/MAPK1,10000,0.21177276039319545
vae,DOCKSTRING/MAPK1,10000,0.20669785849869274
vae,DOCKSTRING/MAPK1,9999,0.19814300546336028
vae,DOCKSTRING/KDR,10000,0.21818646991594523
vae,DOCKSTRING/KDR,10000,0.21228173637885833
vae,DOCKSTRING/KDR,10000,0.2198750806168912
vae,DOCKSTRING/KDR,10000,0.20466376437766254
vae,DOCKSTRING/KDR,10000,0.22857947258833547
vae,DOCKSTRING/PLK1,10000,0.20576900379833607
vae,DOCKSTRING/PLK1,10000,0.18358971870449198
vae,DOCKSTRING/PLK1,10000,0.19140356975246656
vae,DOCKSTRING/PLK1,10000,0.1915917497817306
vae,DOCKSTRING/PLK1,10000,0.20017013814987655
vae,DOCKSTRING/DRD2,10000,0.22545336669659724
vae,DOCKSTRING/DRD2,10000,0.22841578294834997
vae,DOCKSTRING/DRD2,10000,0.21925390712242646
vae,DOCKSTRING/DRD2,10000,0.21584403557487103
vae,DOCKSTRING/DRD2,10000,0.1701201024819397
vae,DOCKSTRING/F10,10000,0.21911140930750073
vae,DOCKSTRING/F10,10000,0.20484182365562043
vae,DOCKSTRING/F10,9999,0.21216849717070516
vae,DOCKSTRING/F10,10000,0.2259851064304133
vae,DOCKSTRING/F10,10000,0.2083741122372597
vae,DOCKSTRING/NR3C1,10000,0.09302963366292435
vae,DOCKSTRING/NR3C1,10000,0.08249962198317859
vae,DOCKSTRING/NR3C1,10000,0.09273974694445776
vae,DOCKSTRING/NR3C1,10000,0.12012688661174584
vae,DOCKSTRING/NR3C1,10000,0.12984889052014825
vae,DOCKSTRING/KIT,10000,0.2076028446822571
vae,DOCKSTRING/KIT,10000,0.20353897872566454
vae,DOCKSTRING/KIT,9999,0.19123856212029472
vae,DOCKSTRING/KIT,10000,0.1916045413028495
vae,DOCKSTRING/KIT,10000,0.21224662882644396
vae,DOCKSTRING/PPARA,10000,0.20712694638170678
vae,DOCKSTRING/PPARA,10000,0.21308436198045083
vae,DOCKSTRING/PPARA,9999,0.2237082060519721
vae,DOCKSTRING/PPARA,10000,0.2399017929736358
vae,DOCKSTRING/PPARA,9999,0.2063141065168156
vae,DOCKSTRING/PTK2,10000,0.20243517807435907
vae,DOCKSTRING/PTK2,10000,0.18316534028300954
vae,DOCKSTRING/PTK2,9999,0.19545850387475017
vae,DOCKSTRING/PTK2,10000,0.19047357029394496
vae,DOCKSTRING/PTK2,10000,0.17945312502971855
