features,dataset_and_task,n_valid,rogi
chemberta,DOCKSTRING/NOS1,10000,0.20699199546471056
chemberta,DOCKSTRING/NOS1,10000,0.09775916198513183
chemberta,DOCKSTRING/NOS1,10000,0.19580686306794498
chemberta,DOCKSTRING/NOS1,10000,0.2187419510650443
chemberta,DOCKSTRING/NOS1,10000,0.08665795755921754
chemberta,DOCKSTRING/ADAM17,10000,0.2313221823982283
chemberta,DOCKSTRING/ADAM17,10000,0.22004269053633002
chemberta,DOCKSTRING/ADAM17,10000,0.21916085160458165
chemberta,DOCKSTRING/ADAM17,10000,0.23679329411776967
chemberta,DOCKSTRING/ADAM17,10000,0.22586472585767828
chemberta,DOCKSTRING/ADRB1,10000,0.14486364410348262
chemberta,DOCKSTRING/ADRB1,10000,0.12769749542232406
chemberta,DOCKSTRING/ADRB1,10000,0.18058907816780878
chemberta,DOCKSTRING/ADRB1,10000,0.13020498034727426
chemberta,DOCKSTRING/ADRB1,10000,0.21407462410453365
chemberta,DOCKSTRING/REN,10000,0.2285787936660344
chemberta,DOCKSTRING/REN,10000,0.21415042308107457
chemberta,DOCKSTRING/REN,10000,0.2227999061197197
chemberta,DOCKSTRING/REN,10000,0.21915606672863558
chemberta,DOCKSTRING/REN,10000,0.2076424482134725
chemberta,DOCKSTRING/HSP90AA1,10000,0.2040023356101075
chemberta,DOCKSTRING/HSP90AA1,10000,0.20486248767556126
chemberta,DOCKSTRING/HSP90AA1,10000,0.21079419856419002
chemberta,DOCKSTRING/HSP90AA1,10000,0.2074022351603653
chemberta,DOCKSTRING/HSP90AA1,10000,0.2274692243248688
chemberta,DOCKSTRING/PPARD,10000,0.21999809103732546
chemberta,DOCKSTRING/PPARD,10000,0.22043708651047278
chemberta,DOCKSTRING/PPARD,10000,0.1881155555773376
chemberta,DOCKSTRING/PPARD,10000,0.2080446474429621
chemberta,DOCKSTRING/PPARD,10000,0.21180130714834272
chemberta,DOCKSTRING/CDK2,10000,0.22124982449637426
chemberta,DOCKSTRING/CDK2,10000,0.19347789186995637
chemberta,DOCKSTRING/CDK2,10000,0.19333912475210077
chemberta,DOCKSTRING/CDK2,10000,0.20906350379698438
chemberta,DOCKSTRING/CDK2,10000,0.20351386621361237
chemberta,DOCKSTRING/F2,10000,0.21844310962422003
chemberta,DOCKSTRING/F2,10000,0.22405632309556092
chemberta,DOCKSTRING/F2,10000,0.22763926387644956
chemberta,DOCKSTRING/F2,10000,0.19288731142197274
chemberta,DOCKSTRING/F2,10000,0.23175313593712699
chemberta,DOCKSTRING/ADRB2,10000,0.1881313321247007
chemberta,DOCKSTRING/ADRB2,10000,0.09983716999552375
chemberta,DOCKSTRING/ADRB2,10000,0.1062129394394507
chemberta,DOCKSTRING/ADRB2,10000,0.08718650398118678
chemberta,DOCKSTRING/ADRB2,10000,0.1015294132482693
chemberta,DOCKSTRING/FGFR1,10000,0.2293057239408251
chemberta,DOCKSTRING/FGFR1,10000,0.24067605197400363
chemberta,DOCKSTRING/FGFR1,10000,0.2446083037615449
chemberta,DOCKSTRING/FGFR1,10000,0.22400235306557686
chemberta,DOCKSTRING/FGFR1,10000,0.24150834031673976
chemberta,DOCKSTRING/BACE1,10000,0.2391301547159204
chemberta,DOCKSTRING/BACE1,10000,0.21053223593615406
chemberta,DOCKSTRING/BACE1,10000,0.21441137937603444
chemberta,DOCKSTRING/BACE1,10000,0.23223175754506645
chemberta,DOCKSTRING/BACE1,10000,0.19460618823074224
chemberta,DOCKSTRING/MAPKAPK2,10000,0.23082956240485514
chemberta,DOCKSTRING/MAPKAPK2,10000,0.21520609237827384
chemberta,DOCKSTRING/MAPKAPK2,10000,0.20101994092063474
chemberta,DOCKSTRING/MAPKAPK2,10000,0.19401269236879073
chemberta,DOCKSTRING/MAPKAPK2,10000,0.2128798865215562
chemberta,DOCKSTRING/AKT2,10000,0.18106908398243962
chemberta,DOCKSTRING/AKT2,10000,0.22628765443213988
chemberta,DOCKSTRING/AKT2,10000,0.21616103361013528
chemberta,DOCKSTRING/AKT2,10000,0.21478951762673487
chemberta,DOCKSTRING/AKT2,10000,0.2115163508377726
chemberta,DOCKSTRING/DHFR,10000,0.1988318667460147
chemberta,DOCKSTRING/DHFR,10000,0.21937257158680376
chemberta,DOCKSTRING/DHFR,10000,0.21034866737315822
chemberta,DOCKSTRING/DHFR,10000,0.19944794739883429
chemberta,DOCKSTRING/DHFR,10000,0.2025240180381666
chemberta,DOCKSTRING/SRC,10000,0.20665160154090223
chemberta,DOCKSTRING/SRC,10000,0.19230524914141015
chemberta,DOCKSTRING/SRC,10000,0.22785636796383996
chemberta,DOCKSTRING/SRC,10000,0.19377135530980139
chemberta,DOCKSTRING/SRC,10000,0.2042401596218132
chemberta,DOCKSTRING/CYP2C9,10000,0.2253034246890812
chemberta,DOCKSTRING/CYP2C9,10000,0.24844366594981102
chemberta,DOCKSTRING/CYP2C9,10000,0.10019620135112431
chemberta,DOCKSTRING/CYP2C9,10000,0.1799099840229771
chemberta,DOCKSTRING/CYP2C9,10000,0.22276415866834398
chemberta,DOCKSTRING/PTGS2,10000,0.1939183616921696
chemberta,DOCKSTRING/PTGS2,10000,0.21165923047716967
chemberta,DOCKSTRING/PTGS2,10000,0.12599415009032341
chemberta,DOCKSTRING/PTGS2,10000,0.2075077159616267
chemberta,DOCKSTRING/PTGS2,10000,0.23199788356674747
chemberta,DOCKSTRING/ESR1,10000,0.22985311378883017
chemberta,DOCKSTRING/ESR1,10000,0.20536267092516125
chemberta,DOCKSTRING/ESR1,10000,0.18743028317086932
chemberta,DOCKSTRING/ESR1,10000,0.20534344090183992
chemberta,DOCKSTRING/ESR1,10000,0.18841138812733774
chemberta,DOCKSTRING/MET,10000,0.21258403132028983
chemberta,DOCKSTRING/MET,10000,0.2315549367695493
chemberta,DOCKSTRING/MET,10000,0.21872017220187254
chemberta,DOCKSTRING/MET,10000,0.22782402719929173
chemberta,DOCKSTRING/MET,10000,0.20889867823816988
chemberta,DOCKSTRING/IGF1R,10000,0.2023358560748345
chemberta,DOCKSTRING/IGF1R,10000,0.2173572611135567
chemberta,DOCKSTRING/IGF1R,10000,0.228308509563686
chemberta,DOCKSTRING/IGF1R,10000,0.22165367002729913
chemberta,DOCKSTRING/IGF1R,10000,0.22036508109462727
chemberta,DOCKSTRING/PPARG,10000,0.22545004718663236
chemberta,DOCKSTRING/PPARG,10000,0.21730406537868324
chemberta,DOCKSTRING/PPARG,10000,0.2225275361143514
chemberta,DOCKSTRING/PPARG,10000,0.21529425767026555
chemberta,DOCKSTRING/PPARG,10000,0.233450002287337
chemberta,DOCKSTRING/HMGCR,10000,0.21750255191775994
chemberta,DOCKSTRING/HMGCR,10000,0.20066313467401092
chemberta,DOCKSTRING/HMGCR,10000,0.18325662415680452
chemberta,DOCKSTRING/HMGCR,10000,0.19945967207728998
chemberta,DOCKSTRING/HMGCR,10000,0.19913778970909168
chemberta,DOCKSTRING/AKT1,10000,0.12723078890578327
chemberta,DOCKSTRING/AKT1,10000,0.1621941680885151
chemberta,DOCKSTRING/AKT1,10000,0.11112865305664835
chemberta,DOCKSTRING/AKT1,10000,0.16601745361026674
chemberta,DOCKSTRING/AKT1,10000,0.14437332240706124
chemberta,DOCKSTRING/CSF1R,10000,0.20122565767073083
chemberta,DOCKSTRING/CSF1R,10000,0.2227207478180515
chemberta,DOCKSTRING/CSF1R,10000,0.1984110014573587
chemberta,DOCKSTRING/CSF1R,10000,0.19854702539724717
chemberta,DOCKSTRING/CSF1R,10000,0.20599969658506886
chemberta,DOCKSTRING/DRD3,10000,0.23412894426777117
chemberta,DOCKSTRING/DRD3,10000,0.15928423443028164
chemberta,DOCKSTRING/DRD3,10000,0.21787548835512482
chemberta,DOCKSTRING/DRD3,10000,0.2384824195731139
chemberta,DOCKSTRING/DRD3,10000,0.1227365892541281
chemberta,DOCKSTRING/JAK2,10000,0.21377598852539026
chemberta,DOCKSTRING/JAK2,10000,0.20891665734897155
chemberta,DOCKSTRING/JAK2,10000,0.21147726491782207
chemberta,DOCKSTRING/JAK2,10000,0.208918497535608
chemberta,DOCKSTRING/JAK2,10000,0.21931142048806784
chemberta,DOCKSTRING/PDE5A,10000,0.2074260191321476
chemberta,DOCKSTRING/PDE5A,10000,0.21072765972301974
chemberta,DOCKSTRING/PDE5A,10000,0.20832255715584225
chemberta,DOCKSTRING/PDE5A,10000,0.21684211441876833
chemberta,DOCKSTRING/PDE5A,10000,0.2049693163495117
chemberta,DOCKSTRING/LCK,10000,0.19707051163606104
chemberta,DOCKSTRING/LCK,10000,0.20300548066068064
chemberta,DOCKSTRING/LCK,10000,0.18421579334124444
chemberta,DOCKSTRING/LCK,10000,0.1926753872099145
chemberta,DOCKSTRING/LCK,10000,0.21353474187131555
chemberta,DOCKSTRING/PGR,10000,0.07013772811197752
chemberta,DOCKSTRING/PGR,10000,0.1396966795619116
chemberta,DOCKSTRING/PGR,10000,0.08973811124161607
chemberta,DOCKSTRING/PGR,10000,0.10185566771925224
chemberta,DOCKSTRING/PGR,10000,0.11446992191819949
chemberta,DOCKSTRING/CA2,10000,0.20389095937387314
chemberta,DOCKSTRING/CA2,10000,0.19755410249672714
chemberta,DOCKSTRING/CA2,10000,0.1939075716207915
chemberta,DOCKSTRING/CA2,10000,0.19904363867477753
chemberta,DOCKSTRING/CA2,10000,0.21609102627208515
chemberta,DOCKSTRING/ESR2,10000,0.224942904793266
chemberta,DOCKSTRING/ESR2,10000,0.22294501971637395
chemberta,DOCKSTRING/ESR2,10000,0.2233502100320429
chemberta,DOCKSTRING/ESR2,10000,0.2252763518138759
chemberta,DOCKSTRING/ESR2,10000,0.2147385004362665
chemberta,DOCKSTRING/EGFR,10000,0.23007049665225116
chemberta,DOCKSTRING/EGFR,10000,0.1964048898752631
chemberta,DOCKSTRING/EGFR,10000,0.2353630110858579
chemberta,DOCKSTRING/EGFR,10000,0.22244653050975471
chemberta,DOCKSTRING/EGFR,10000,0.22339368300422419
chemberta,DOCKSTRING/DPP4,10000,0.24285216711797333
chemberta,DOCKSTRING/DPP4,10000,0.20733846748479873
chemberta,DOCKSTRING/DPP4,10000,0.20272468243862524
chemberta,DOCKSTRING/DPP4,10000,0.21863329120917524
chemberta,DOCKSTRING/DPP4,10000,0.21880031174449474
chemberta,DOCKSTRING/ABL1,10000,0.21875202414433165
chemberta,DOCKSTRING/ABL1,10000,0.2247301025719521
chemberta,DOCKSTRING/ABL1,10000,0.2095658789237717
chemberta,DOCKSTRING/ABL1,10000,0.2051847965186338
chemberta,DOCKSTRING/ABL1,10000,0.20995897876369068
chemberta,DOCKSTRING/ADORA2A,10000,0.2124534483544245
chemberta,DOCKSTRING/ADORA2A,10000,0.20929312897956392
chemberta,DOCKSTRING/ADORA2A,10000,0.18919536927003727
chemberta,DOCKSTRING/ADORA2A,10000,0.2121965331161316
chemberta,DOCKSTRING/ADORA2A,10000,0.2059253680885952
chemberta,DOCKSTRING/ACHE,10000,0.2333290481294394
chemberta,DOCKSTRING/ACHE,10000,0.20793733729050368
chemberta,DOCKSTRING/ACHE,10000,0.20506367163290007
chemberta,DOCKSTRING/ACHE,10000,0.19425185717087654
chemberta,DOCKSTRING/ACHE,10000,0.21417136086886954
chemberta,DOCKSTRING/CASP3,10000,0.19656140591444268
chemberta,DOCKSTRING/CASP3,10000,0.2377218399464418
chemberta,DOCKSTRING/CASP3,10000,0.23187342582026768
chemberta,DOCKSTRING/CASP3,10000,0.21892886783931254
chemberta,DOCKSTRING/CASP3,10000,0.18515690354538122
chemberta,DOCKSTRING/PTPN1,10000,0.22074561956082767
chemberta,DOCKSTRING/PTPN1,10000,0.19523633921515765
chemberta,DOCKSTRING/PTPN1,10000,0.2164477113958801
chemberta,DOCKSTRING/PTPN1,10000,0.22965019144531076
chemberta,DOCKSTRING/PTPN1,10000,0.21666667280122132
chemberta,DOCKSTRING/MMP13,10000,0.20751297354632184
chemberta,DOCKSTRING/MMP13,10000,0.22935072433448525
chemberta,DOCKSTRING/MMP13,10000,0.2111937971316052
chemberta,DOCKSTRING/MMP13,10000,0.23144767363363092
chemberta,DOCKSTRING/MMP13,10000,0.23747731349240317
chemberta,DOCKSTRING/CYP3A4,10000,0.22487280347375357
chemberta,DOCKSTRING/CYP3A4,10000,0.23252633092741748
chemberta,DOCKSTRING/CYP3A4,10000,0.2049388081493728
chemberta,DOCKSTRING/CYP3A4,10000,0.08415582960417196
chemberta,DOCKSTRING/CYP3A4,10000,0.21173519315383543
chemberta,DOCKSTRING/MAPK14,10000,0.20221744748300557
chemberta,DOCKSTRING/MAPK14,10000,0.19908952049106618
chemberta,DOCKSTRING/MAPK14,10000,0.21144703135093026
chemberta,DOCKSTRING/MAPK14,10000,0.20180237364960135
chemberta,DOCKSTRING/MAPK14,10000,0.19965983023563016
chemberta,DOCKSTRING/MAOB,10000,0.055647055543100205
chemberta,DOCKSTRING/MAOB,10000,0.09771045084066032
chemberta,DOCKSTRING/MAOB,10000,0.08344414423296694
chemberta,DOCKSTRING/MAOB,10000,0.10667188506450431
chemberta,DOCKSTRING/MAOB,10000,0.0521692406733652
chemberta,DOCKSTRING/ROCK1,10000,0.1927994442723514
chemberta,DOCKSTRING/ROCK1,10000,0.19175788681236763
chemberta,DOCKSTRING/ROCK1,10000,0.18999998329969048
chemberta,DOCKSTRING/ROCK1,10000,0.23084394656515206
chemberta,DOCKSTRING/ROCK1,10000,0.1927934048541331
chemberta,DOCKSTRING/MAP2K1,10000,0.22357762537088
chemberta,DOCKSTRING/MAP2K1,10000,0.22955757456278947
chemberta,DOCKSTRING/MAP2K1,10000,0.22810068034838046
chemberta,DOCKSTRING/MAP2K1,10000,0.2085692962645946
chemberta,DOCKSTRING/MAP2K1,10000,0.21386158079696502
chemberta,DOCKSTRING/AR,10000,0.07024502258846799
chemberta,DOCKSTRING/AR,10000,0.06439659659219929
chemberta,DOCKSTRING/AR,10000,0.06931723875729408
chemberta,DOCKSTRING/AR,10000,0.037947928687637876
chemberta,DOCKSTRING/AR,10000,0.06986181325691779
chemberta,DOCKSTRING/THRB,10000,0.26383689467987964
chemberta,DOCKSTRING/THRB,10000,0.25088065755929145
chemberta,DOCKSTRING/THRB,10000,0.27721760503141923
chemberta,DOCKSTRING/THRB,10000,0.2669728499448488
chemberta,DOCKSTRING/THRB,10000,0.2727103548489597
chemberta,DOCKSTRING/HSD11B1,10000,0.21777290346986303
chemberta,DOCKSTRING/HSD11B1,10000,0.23315162027585246
chemberta,DOCKSTRING/HSD11B1,10000,0.22198004158847134
chemberta,DOCKSTRING/HSD11B1,10000,0.21088470744062132
chemberta,DOCKSTRING/HSD11B1,10000,0.2185736606455188
chemberta,DOCKSTRING/GBA,10000,0.12344273136501895
chemberta,DOCKSTRING/GBA,10000,0.1262800524054085
chemberta,DOCKSTRING/GBA,10000,0.11736875023682854
chemberta,DOCKSTRING/GBA,10000,0.053959051334410535
chemberta,DOCKSTRING/GBA,10000,0.09042400413995763
chemberta,DOCKSTRING/PARP1,10000,0.22235030837518954
chemberta,DOCKSTRING/PARP1,10000,0.2256017106577688
chemberta,DOCKSTRING/PARP1,10000,0.18578316071341774
chemberta,DOCKSTRING/PARP1,10000,0.20595705271259734
chemberta,DOCKSTRING/PARP1,10000,0.2320424515641729
chemberta,DOCKSTRING/MAPK1,10000,0.21799559056986093
chemberta,DOCKSTRING/MAPK1,10000,0.2173905189531707
chemberta,DOCKSTRING/MAPK1,10000,0.18880340217588704
chemberta,DOCKSTRING/MAPK1,10000,0.209699815873171
chemberta,DOCKSTRING/MAPK1,10000,0.2024992775091846
chemberta,DOCKSTRING/KDR,10000,0.23569652261033844
chemberta,DOCKSTRING/KDR,10000,0.22987328434025775
chemberta,DOCKSTRING/KDR,10000,0.2436008781278688
chemberta,DOCKSTRING/KDR,10000,0.24425913868664495
chemberta,DOCKSTRING/KDR,10000,0.24062237765205352
chemberta,DOCKSTRING/PLK1,10000,0.17403534134736853
chemberta,DOCKSTRING/PLK1,10000,0.2042593446524258
chemberta,DOCKSTRING/PLK1,10000,0.2020192543802047
chemberta,DOCKSTRING/PLK1,10000,0.21023325018930378
chemberta,DOCKSTRING/PLK1,10000,0.19979311595444568
