features,dataset_and_task,n_valid,rogi
gin,CACO2_WANG,910,0.2683730779652285
gin,CACO2_WANG,910,0.2683730779652285
gin,CACO2_WANG,910,0.2683730779652285
gin,CACO2_WANG,910,0.2683730779652285
gin,CACO2_WANG,910,0.2683730779652285
gin,HALF_LIFE_OBACH,667,0.1114440957254749
gin,HALF_LIFE_OBACH,667,0.1114440957254749
gin,HALF_LIFE_OBACH,667,0.1114440957254749
gin,HALF_LIFE_OBACH,667,0.1114440957254749
gin,HALF_LIFE_OBACH,667,0.1114440957254749
gin,CLEARANCE_MICROSOME_AZ,1102,0.4824507800145865
gin,CLEARANCE_MICROSOME_AZ,1102,0.4824507800145865
gin,CLEARANCE_MICROSOME_AZ,1102,0.4824507800145865
gin,CLEARANCE_MICROSOME_AZ,1102,0.4824507800145865
gin,CLEARANCE_MICROSOME_AZ,1102,0.4824507800145865
gin,VDSS_LOMBARDO,1130,0.05574008630409194
gin,VDSS_LOMBARDO,1130,0.05574008630409194
gin,VDSS_LOMBARDO,1130,0.05574008630409194
gin,VDSS_LOMBARDO,1130,0.05574008630409194
gin,VDSS_LOMBARDO,1130,0.05574008630409194
gin,LIPOPHILICITY_ASTRAZENECA,4200,0.32340457758622126
gin,LIPOPHILICITY_ASTRAZENECA,4200,0.32340457758622126
gin,LIPOPHILICITY_ASTRAZENECA,4200,0.32340457758622126
gin,LIPOPHILICITY_ASTRAZENECA,4200,0.32340457758622126
gin,LIPOPHILICITY_ASTRAZENECA,4200,0.32340457758622126
gin,LD50_ZHU,7385,0.15563065136220405
gin,LD50_ZHU,7385,0.15563065136220405
gin,LD50_ZHU,7385,0.15563065136220405
gin,LD50_ZHU,7385,0.15563065136220405
gin,LD50_ZHU,7385,0.15563065136220405
gin,HYDRATIONFREEENERGY_FREESOLV,642,0.1932959661487058
gin,HYDRATIONFREEENERGY_FREESOLV,642,0.1932959661487058
gin,HYDRATIONFREEENERGY_FREESOLV,642,0.1932959661487058
gin,HYDRATIONFREEENERGY_FREESOLV,642,0.1932959661487058
gin,HYDRATIONFREEENERGY_FREESOLV,642,0.1932959661487058
gin,CLEARANCE_HEPATOCYTE_AZ,1213,0.5378812194130197
gin,CLEARANCE_HEPATOCYTE_AZ,1213,0.5378812194130197
gin,CLEARANCE_HEPATOCYTE_AZ,1213,0.5378812194130197
gin,CLEARANCE_HEPATOCYTE_AZ,1213,0.5378812194130197
gin,CLEARANCE_HEPATOCYTE_AZ,1213,0.5378812194130197
gin,PPBR_AZ,1614,0.2892414746929598
gin,PPBR_AZ,1614,0.2892414746929598
gin,PPBR_AZ,1614,0.2892414746929598
gin,PPBR_AZ,1614,0.2892414746929598
gin,PPBR_AZ,1614,0.2892414746929598
gin,SCAFFOLD HOP,10000,0.23374741117063835
gin,SCAFFOLD HOP,10000,0.23374741117063835
gin,SCAFFOLD HOP,10000,0.23374741117063835
gin,SCAFFOLD HOP,10000,0.23374741117063835
gin,SCAFFOLD HOP,10000,0.23374741117063835
gin,CELECOXIB_REDISCOVERY,10000,0.21712130418956394
gin,CELECOXIB_REDISCOVERY,10000,0.21712130418956394
gin,CELECOXIB_REDISCOVERY,10000,0.21712130418956394
gin,CELECOXIB_REDISCOVERY,10000,0.21712130418956394
gin,CELECOXIB_REDISCOVERY,10000,0.21712130418956394
gin,ARIPIPRAZOLE_SIMILARITY,10000,0.20340502860450796
gin,ARIPIPRAZOLE_SIMILARITY,10000,0.20340502860450796
gin,ARIPIPRAZOLE_SIMILARITY,10000,0.20340502860450796
gin,ARIPIPRAZOLE_SIMILARITY,10000,0.20340502860450796
gin,ARIPIPRAZOLE_SIMILARITY,10000,0.20340502860450796
gin,MEDIAN 1,10000,0.18449024970336333
gin,MEDIAN 1,10000,0.18449024970336333
gin,MEDIAN 1,10000,0.18449024970336333
gin,MEDIAN 1,10000,0.18449024970336333
gin,MEDIAN 1,10000,0.18449024970336333
gin,ZALEPLON_MPO,10000,0.33325567055938543
gin,ZALEPLON_MPO,10000,0.33325567055938543
gin,ZALEPLON_MPO,10000,0.33325567055938543
gin,ZALEPLON_MPO,10000,0.33325567055938543
gin,ZALEPLON_MPO,10000,0.33325567055938543
gin,SOLUBILITY_AQSOLDB,9982,0.2923052168589459
gin,SOLUBILITY_AQSOLDB,9982,0.2923052168589459
gin,SOLUBILITY_AQSOLDB,9982,0.2923052168589459
gin,SOLUBILITY_AQSOLDB,9982,0.2923052168589459
gin,SOLUBILITY_AQSOLDB,9982,0.2923052168589459
gin,HERG_CENTRAL/hERG_at_1uM,10000,0.12864418347167383
gin,HERG_CENTRAL/hERG_at_1uM,10000,0.1381384334485411
gin,HERG_CENTRAL/hERG_at_1uM,10000,0.12017387103414795
gin,HERG_CENTRAL/hERG_at_1uM,10000,0.13228510523693315
gin,HERG_CENTRAL/hERG_at_1uM,10000,0.12794459643913036
gin,HERG_CENTRAL/hERG_at_10uM,10000,0.16228224589331938
gin,HERG_CENTRAL/hERG_at_10uM,10000,0.19793157932602096
gin,HERG_CENTRAL/hERG_at_10uM,10000,0.22155304848711166
gin,HERG_CENTRAL/hERG_at_10uM,10000,0.21231874729356923
gin,HERG_CENTRAL/hERG_at_10uM,10000,0.2110659415557259
gin,HERG_CENTRAL/hERG_inhib,10000,0.3585503128742727
gin,HERG_CENTRAL/hERG_inhib,10000,0.3625156204208043
gin,HERG_CENTRAL/hERG_inhib,10000,0.355914030323909
gin,HERG_CENTRAL/hERG_inhib,10000,0.3531066256817398
gin,HERG_CENTRAL/hERG_inhib,10000,0.34940765776514254
