features,dataset_and_task,n_valid,rogi
chemberta,CACO2_WANG,910,0.2868498964408378
chemberta,CACO2_WANG,910,0.2868498964408378
chemberta,CACO2_WANG,910,0.2868498964408378
chemberta,CACO2_WANG,910,0.2868498964408378
chemberta,CACO2_WANG,910,0.2868498964408378
chemberta,HALF_LIFE_OBACH,667,0.1109470701109834
chemberta,HALF_LIFE_OBACH,667,0.1109470701109834
chemberta,HALF_LIFE_OBACH,667,0.1109470701109834
chemberta,HALF_LIFE_OBACH,667,0.1109470701109834
chemberta,HALF_LIFE_OBACH,667,0.1109470701109834
chemberta,CLEARANCE_MICROSOME_AZ,1102,0.5017624789182021
chemberta,CLEARANCE_MICROSOME_AZ,1102,0.5017624789182021
chemberta,CLEARANCE_MICROSOME_AZ,1102,0.5017624789182021
chemberta,CLEARANCE_MICROSOME_AZ,1102,0.5017624789182021
chemberta,CLEARANCE_MICROSOME_AZ,1102,0.5017624789182021
chemberta,VDSS_LOMBARDO,1130,0.05093905172998725
chemberta,VDSS_LOMBARDO,1130,0.05093905172998725
chemberta,VDSS_LOMBARDO,1130,0.05093905172998725
chemberta,VDSS_LOMBARDO,1130,0.05093905172998725
chemberta,VDSS_LOMBARDO,1130,0.05093905172998725
chemberta,LIPOPHILICITY_ASTRAZENECA,4200,0.34113221177367403
chemberta,LIPOPHILICITY_ASTRAZENECA,4200,0.34113221177367403
chemberta,LIPOPHILICITY_ASTRAZENECA,4200,0.34113221177367403
chemberta,LIPOPHILICITY_ASTRAZENECA,4200,0.34113221177367403
chemberta,LIPOPHILICITY_ASTRAZENECA,4200,0.34113221177367403
chemberta,LD50_ZHU,7385,0.15013916423730045
chemberta,LD50_ZHU,7385,0.15013916423730045
chemberta,LD50_ZHU,7385,0.15013916423730045
chemberta,LD50_ZHU,7385,0.15013916423730045
chemberta,LD50_ZHU,7385,0.15013916423730045
chemberta,HYDRATIONFREEENERGY_FREESOLV,642,0.20157620351557298
chemberta,HYDRATIONFREEENERGY_FREESOLV,642,0.20157620351557298
chemberta,HYDRATIONFREEENERGY_FREESOLV,642,0.20157620351557298
chemberta,HYDRATIONFREEENERGY_FREESOLV,642,0.20157620351557298
chemberta,HYDRATIONFREEENERGY_FREESOLV,642,0.20157620351557298
chemberta,CLEARANCE_HEPATOCYTE_AZ,1213,0.5699574640108018
chemberta,CLEARANCE_HEPATOCYTE_AZ,1213,0.5699574640108018
chemberta,CLEARANCE_HEPATOCYTE_AZ,1213,0.5699574640108018
chemberta,CLEARANCE_HEPATOCYTE_AZ,1213,0.5699574640108018
chemberta,CLEARANCE_HEPATOCYTE_AZ,1213,0.5699574640108018
chemberta,PPBR_AZ,1614,0.3104389657983653
chemberta,PPBR_AZ,1614,0.3104389657983653
chemberta,PPBR_AZ,1614,0.3104389657983653
chemberta,PPBR_AZ,1614,0.3104389657983653
chemberta,PPBR_AZ,1614,0.3104389657983653
chemberta,SCAFFOLD HOP,10000,0.2583522308472113
chemberta,SCAFFOLD HOP,10000,0.2583522308472113
chemberta,SCAFFOLD HOP,10000,0.2583522308472113
chemberta,SCAFFOLD HOP,10000,0.2583522308472113
chemberta,SCAFFOLD HOP,10000,0.2583522308472113
chemberta,CELECOXIB_REDISCOVERY,10000,0.24449325042327216
chemberta,CELECOXIB_REDISCOVERY,10000,0.24449325042327216
chemberta,CELECOXIB_REDISCOVERY,10000,0.24449325042327216
chemberta,CELECOXIB_REDISCOVERY,10000,0.24449325042327216
chemberta,CELECOXIB_REDISCOVERY,10000,0.24449325042327216
chemberta,ARIPIPRAZOLE_SIMILARITY,10000,0.2241051990966646
chemberta,ARIPIPRAZOLE_SIMILARITY,10000,0.2241051990966646
chemberta,ARIPIPRAZOLE_SIMILARITY,10000,0.2241051990966646
chemberta,ARIPIPRAZOLE_SIMILARITY,10000,0.2241051990966646
chemberta,ARIPIPRAZOLE_SIMILARITY,10000,0.2241051990966646
chemberta,MEDIAN 1,10000,0.20813100757057967
chemberta,MEDIAN 1,10000,0.20813100757057967
chemberta,MEDIAN 1,10000,0.20813100757057967
chemberta,MEDIAN 1,10000,0.20813100757057967
