features,dataset_and_task,n_valid,rogi
descriptor,CACO2_WANG,910,0.2177443895453296
descriptor,CACO2_WANG,910,0.2177443895453296
descriptor,CACO2_WANG,910,0.2177443895453296
descriptor,CACO2_WANG,910,0.2177443895453296
descriptor,CACO2_WANG,910,0.2177443895453296
descriptor,HALF_LIFE_OBACH,667,0.09105802854901356
descriptor,HALF_LIFE_OBACH,667,0.09105802854901356
descriptor,HALF_LIFE_OBACH,667,0.09105802854901356
descriptor,HALF_LIFE_OBACH,667,0.09105802854901356
descriptor,HALF_LIFE_OBACH,667,0.09105802854901356
descriptor,CLEARANCE_MICROSOME_AZ,1102,0.4952581786238442
descriptor,CLEARANCE_MICROSOME_AZ,1102,0.4952581786238442
descriptor,CLEARANCE_MICROSOME_AZ,1102,0.4952581786238442
descriptor,CLEARANCE_MICROSOME_AZ,1102,0.4952581786238442
descriptor,CLEARANCE_MICROSOME_AZ,1102,0.4952581786238442
descriptor,VDSS_LOMBARDO,1130,0.05678455502298769
descriptor,VDSS_LOMBARDO,1130,0.05678455502298769
descriptor,VDSS_LOMBARDO,1130,0.05678455502298769
descriptor,VDSS_LOMBARDO,1130,0.05678455502298769
descriptor,VDSS_LOMBARDO,1130,0.05678455502298769
descriptor,LIPOPHILICITY_ASTRAZENECA,4200,0.3250019259728255
descriptor,LIPOPHILICITY_ASTRAZENECA,4200,0.3250019259728255
descriptor,LIPOPHILICITY_ASTRAZENECA,4200,0.3250019259728255
descriptor,LIPOPHILICITY_ASTRAZENECA,4200,0.3250019259728255
descriptor,LIPOPHILICITY_ASTRAZENECA,4200,0.3250019259728255
descriptor,LD50_ZHU,7385,0.1536474267387572
descriptor,LD50_ZHU,7385,0.1536474267387572
descriptor,LD50_ZHU,7385,0.1536474267387572
descriptor,LD50_ZHU,7385,0.1536474267387572
descriptor,LD50_ZHU,7385,0.1536474267387572
descriptor,HYDRATIONFREEENERGY_FREESOLV,642,0.14584201083559817
descriptor,HYDRATIONFREEENERGY_FREESOLV,642,0.14584201083559817
descriptor,HYDRATIONFREEENERGY_FREESOLV,642,0.14584201083559817
descriptor,HYDRATIONFREEENERGY_FREESOLV,642,0.14584201083559817
descriptor,HYDRATIONFREEENERGY_FREESOLV,642,0.14584201083559817
descriptor,CLEARANCE_HEPATOCYTE_AZ,1213,0.5601852094508696
descriptor,CLEARANCE_HEPATOCYTE_AZ,1213,0.5601852094508696
descriptor,CLEARANCE_HEPATOCYTE_AZ,1213,0.5601852094508696
descriptor,CLEARANCE_HEPATOCYTE_AZ,1213,0.5601852094508696
descriptor,CLEARANCE_HEPATOCYTE_AZ,1213,0.5601852094508696
descriptor,PPBR_AZ,1614,0.2927604020092731
descriptor,PPBR_AZ,1614,0.2927604020092731
descriptor,PPBR_AZ,1614,0.2927604020092731
descriptor,PPBR_AZ,1614,0.2927604020092731
descriptor,PPBR_AZ,1614,0.2927604020092731
descriptor,SCAFFOLD HOP,10000,0.16411844979709744
descriptor,SCAFFOLD HOP,10000,0.16411844979709744
descriptor,SCAFFOLD HOP,10000,0.16411844979709744
descriptor,SCAFFOLD HOP,10000,0.16411844979709744
descriptor,SCAFFOLD HOP,10000,0.16411844979709744
descriptor,CELECOXIB_REDISCOVERY,10000,0.1669067240877253
descriptor,CELECOXIB_REDISCOVERY,10000,0.1669067240877253
descriptor,CELECOXIB_REDISCOVERY,10000,0.1669067240877253
descriptor,CELECOXIB_REDISCOVERY,10000,0.1669067240877253
descriptor,CELECOXIB_REDISCOVERY,10000,0.1669067240877253
descriptor,ARIPIPRAZOLE_SIMILARITY,10000,0.16830100967204942
descriptor,ARIPIPRAZOLE_SIMILARITY,10000,0.16830100967204942
descriptor,ARIPIPRAZOLE_SIMILARITY,10000,0.16830100967204942
descriptor,ARIPIPRAZOLE_SIMILARITY,10000,0.16830100967204942
descriptor,ARIPIPRAZOLE_SIMILARITY,10000,0.16830100967204942
descriptor,MEDIAN 1,10000,0.14609270673267827
descriptor,MEDIAN 1,10000,0.14609270673267827
descriptor,MEDIAN 1,10000,0.14609270673267827
descriptor,MEDIAN 1,10000,0.14609270673267827
descriptor,MEDIAN 1,10000,0.14609270673267827
descriptor,ZALEPLON_MPO,10000,0.2924803392670511
descriptor,ZALEPLON_MPO,10000,0.2924803392670511
descriptor,ZALEPLON_MPO,10000,0.2924803392670511
descriptor,ZALEPLON_MPO,10000,0.2924803392670511
descriptor,ZALEPLON_MPO,10000,0.2924803392670511
descriptor,VALSARTAN_SMARTS,10000,0.017611157498287684
descriptor,VALSARTAN_SMARTS,10000,0.017611157498287684
descriptor,VALSARTAN_SMARTS,10000,0.017611157498287684
descriptor,VALSARTAN_SMARTS,10000,0.017611157498287684
descriptor,VALSARTAN_SMARTS,10000,0.017611157498287684
descriptor,SOLUBILITY_AQSOLDB,9982,0.26066097418050155
descriptor,SOLUBILITY_AQSOLDB,9982,0.26066097418050155
descriptor,SOLUBILITY_AQSOLDB,9982,0.26066097418050155
descriptor,SOLUBILITY_AQSOLDB,9982,0.26066097418050155
descriptor,SOLUBILITY_AQSOLDB,9982,0.26066097418050155
descriptor,HERG_CENTRAL/hERG_at_1uM,10000,0.10807414656045072
descriptor,HERG_CENTRAL/hERG_at_1uM,10000,0.13383490934007639
descriptor,HERG_CENTRAL/hERG_at_1uM,10000,0.14224820733913984
descriptor,HERG_CENTRAL/hERG_at_1uM,10000,0.12262166734338388
descriptor,HERG_CENTRAL/hERG_at_1uM,10000,0.12453670907428382
descriptor,HERG_CENTRAL/hERG_at_10uM,10000,0.1852888523683372
descriptor,HERG_CENTRAL/hERG_at_10uM,10000,0.20134403555557373
descriptor,HERG_CENTRAL/hERG_at_10uM,10000,0.20435905658395528
descriptor,HERG_CENTRAL/hERG_at_10uM,10000,0.19203641836627305
descriptor,HERG_CENTRAL/hERG_at_10uM,10000,0.18282824652696728
descriptor,HERG_CENTRAL/hERG_inhib,10000,0.34484619823198553
descriptor,HERG_CENTRAL/hERG_inhib,10000,0.37315851020349
descriptor,HERG_CENTRAL/hERG_inhib,10000,0.38550668655568743
descriptor,HERG_CENTRAL/hERG_inhib,10000,0.35230422252685023
descriptor,HERG_CENTRAL/hERG_inhib,10000,0.36108018706431333
